"project.id","country","p.n","p.do","p.cdate","p.invest","p.year"
"p099848","cooperative republic of guyana","guyana national statistics strategy and statistical development","",2009-08-31,285000,2009
"p094897","republic of guatemala","second broad based growth development policy loan","the second development loan is part of a programmatic series of three to four dpls intended to support the fundamentals and three main pillars of the governments development plan vamos guatemala  within this framework it focuses on actions aimed at improving the business and investment climate creating fiscal space for greater social investment and achieving key milestones in improving the fiduciary environment other key areas for growth identified in education health and nutrition and rural economic infrastructure are supported within the cas program through investment operations which build on the ongoing portfolio of interventions in these areas future dpl operations are expected to maintain the focus on the growth agenda trade investment climate public private partnerships access to credit by sme social sector financing transparency and efficiency in public spending",2007-12-31,1e+08,2007
"p092949","republic of nicaragua","ni enhanced competitiveness for international market integration","the project development objective is to strengthen the capacity of the cpc to provide technical leadership and coordinate the efforts of government agencies municipalities the private sector civil society and donors in the field of competitiveness",2011-12-31,1.7e+07,2011
"p082026","republic of paraguay","road maintenance","the projects development objective is to establish a sustainable road management strategy that ensures the upgrading and maintenance of the road network through a rational and balanced use of scarce resources",2016-06-30,105410000,2016
"p098531","republic of haiti","ht electricity project","contribute to the sustainable improvement in the quality of electricity services to customers and to the strengthening of the financial and operational performance of the electricity public utility edh",2013-08-31,7474760,2013
"p007077","republic of ecuador","rural roads project","the main objectives of the project are to strengthen the capacity of participati ng provinces pps to manage the rural road network and to provide improved acc ess to markets and social services for residents of poor rural areas",2011-06-30,58800000,2011
"p095555","republic of ecuador","rural and small towns water supply and sanitation project  ii praguas","the development objective for phase ii of the apl program the project is to i provide sustainable access to wss services for approximately 285000 new rur al beneficiaries and to promote their effective use ii provide improved and s ustainable wss services to approximately 205000 beneficiaries in cantonal capit als iii promote sustainable solid waste services in cantonal capitals and i v improve overall sector performance by the national government by promoting pe rformancebased investment financing for the urban wss sector",2009-03-31,7.9e+07,2009
"p087831","republic of ecuador","ecinclusion and quality education","the projects development objectives are i strengthening human resources mana gement capacity to enhance system efficiency and increasing the number of teach ers and improving their distribution ii increasing coverage at the basic educ ation level in the most disadvantaged areas and iii improving the quality of early childhood education services provided by public sector institutions throug h a more coordinated and efficient network serving children of lower income fami lies in rural indigenous and marginal urban areas",2010-12-31,4.3e+07,2010
"p094097","republic of colombia","co3rd prog labor reform and social development policy loan","the proposed labor reform and social development policy loan larsdpl iii 
  would a strengthen colombias social protection system and improve the 
 delivery of social services b raise human capital formation c improve 
 employability and d enhance monitoring and evaluation systems for better 
 transparency social oversight and results management in the social sectors",2007-03-30,3e+08,2007
"p099585","argentine republic","ar cordoba road infrastructure","improve the reliability of the provinces road sector assets and the efficiency of their management as a means to support the provinces competitiveness and economic growth by building up institutional capacity to encourage efficient planning policies and adequate resource allocation for the rehabilitation and maintenance of the core provincial road network",2013-10-31,7.5e+07,2013
"p092987","republic of honduras","pico bonito sustainable forests project","the overall development objective of the project is to generate carbon dioxide equivalent co2 e emissions reductions by 2017 while at the same time supporting the restoration of degraded forest habitats and establishment of sustainable income generation options  this project will help conserve globally and regionally important biodiversity and the important ecosystems of pico bonito national park through reforestation and protection efforts and support to the local ngo responsible for managing the park it will alsostimulate the local economy and socioeconomic conditions by creating sustainable livelihood options and increasing local investmentopportunities",2017-12-31,8300000,2017
"p077717","united mexican states","largescale renewable energy development project phase 1  25m phase 2  45m","the global objective of the project is to reduce greenhouse gas emissions ghgs and remove barriers to the development of renewable energy technologies and markets per the global environment facility operation progam 6  to assist mexico in developing initial experience in commerciallybased gridconnected renewable energy applications by supporting construction of an approximately 101 mw ipp wind fram while building institutional capacity to value acquire and manage such resources on a replicable basis",2016-04-30,1.5e+08,2016
"p097327","federative republic of brazil","support to pilot program coordination at the ministry of the environment","the purpose of the grant is to strengthen the institutional capacity of the recipients ministry of environment mma to support coordination implementation monitoring and evaluation of the pilot program to conserve the brazilian rain forest the pilot program including the support for the preparation of the sustainable amazon plan  pas plano amazonia sustentavel in relation to environmental aspects which are under the responsibility of the recipients mma",2009-08-30,2400000,2009
"p095371","republic of haiti","ht economic governance tag ii","assist the government in strengthening its capacity for  a budget formulation and execution and b budget monitoring and control",2011-06-30,2e+06,2011
"p083045","republic of panama","rural productivity project gef","the project development objective of the partiallyblended rural productivity and sustainable development project is to contribute to increased income and employment of smallscale rural producers in panama  the global environmental objective is to conserve biodiversity of global importance and protect important forest mountain and marinecoastal ecosystems in panama",2014-07-31,18100000,2014
"p085488","central america","corazon transboundary biosphere reserve project","the project development objective pdo of the proposed project is to improve the national and binational management of the area of the proposed corazon transboundary biosphere reserve ctbr respecting the rights of traditional populations",2012-12-15,34350000,2012
"p066535","federative republic of brazil","integrated management of aquatic resources in the amazon aquabio","the projects geo is to support the mainstreaming of a multistakeholder integrated management approach to the conservation and sustainable use of freshwater biodiversity in public policies and programs in the brazilian amazon river basin",2012-03-26,17131400,2012
"p083952","republic of nicaragua","fourth roads rehabilitation and maintenance project","the project development objective is to support the government of nicaraguas broad based economic growth and poverty reduction plan by relieving transportation bottlenecks that currently hinder economic growth and private sector investment the specific objectives are to support economic growth by i expanding and complementing the previous focus on trunk roads by improving a connecting network of secondary and rural roads  ii   helping ensure the sustainability of the road improvements through strengthening of maintenance practices and iii institution building and technical development in the ministry of transport and infrastructure mti and the road maintenance fund fomav",2014-09-30,69910000,2014
"p093384","republic of costa rica","mainstreaming marketbased instruments for environmental management project","the project development objective is to enhance the provision of environmental services of a national and global significance and secure their longterm sustainability through a scaledup payment for environmental services system in costa rica",2014-03-31,80303500,2014
"p098838","republic of costa rica","gef  mainstreaming marketbased instruments for environmental management project","the project development objective is to enhance the provision of environmental services of a national and global significance and secure their longterm sustainability through a scaledup payment for environmental services system in costa rica",2014-03-31,4e+07,2014
"p095675","federative republic of brazil","second programmatic sustainable and equitable growth loan","the main objective of this program is to support sustainable and equitable economic growth in brazil the program will raise brazils sustainable economic growth potential thus increasing employment and reducing poverty in logistics key actions will cut customs release times by 40 percent cut container handling costs in ports by 10 percent lower road transport costs by about 5 percent and increase nonroad transportation by 10 percent improvements to the business environment will increase publicprivate partnership increase cartel prosecutions by the competition authorities halve the time to register a business in selected cities and increase the speed of resolution and the recovery value of insolvent enterprises under the new bankruptcy law financial sector reforms will reduce bank overheads increase financial access and reduce credit risk accelerate the expansion of the insurance industry and increase access to bank accounts from 95 million to 103 million people by the end of the program in innovation a new innovation law will increase technology transfer contracts between universities and the private sector by 20 percent and increase the private share in rd by 10 percentage points  supported improvements in the clean development mechanism will generate at least us100 million in carbon credits",2008-06-30,1.5e+08,2008
"p093491","argentine republic","ar apl2 urban flood prevention and drainage","the project would help reduce vulnerability of argentina to flooding through a mix of physical institutional and financial measures  it will be the second phase of an apl planned over the next 7 years while phase 1 of the program develops a risk management program for the city of buenos aires phase 2 develops a risk management program for six provinces complying with the selection criteria and undertakes preparation of the future operations  the measures will aim at improving the security of economic assets and persons living in floodprone areas by constructing defense facilities to reduce future losses due to floods and by strengthening national and provincial institutions and systems for dealing with future floods these provinces chaco corrientes misiones santa fe formosa and entre rios are located along the two main rivers the paran and paraguay constituting the argentinean region most vulnerable to flooding the provinces have started to develop a risk management strategy under the current flood protection project 4117ar and they succeeded in achieving positive results in risk identification and mitigation  in addition the provinces will build on the achievements and experience from the city of buenos aires in phase1",2014-12-31,91570000,2014
"p092990","federative republic of brazil","br  road transport project","the projects ultimate development objective is to stimulate higher economic growth by increasing effectiveness in the use of the federal road infrastructure the objective is to be achieved through a support to the first phase of the federal road maintenance and rehabilitation program and b a  comprehensive program of institutional strengthening activities to improve efficiency and sustainability of road transport investment programs",2013-05-30,1218740000,2013
"p060484","argentine republic","ar basic municipal services project","the objective of the project is to improve the quality of life and the quality of basic municipal services through the provision of water supply and sanitation urban drainage and roads infrastructure in an equitable and fiscally sustainable manner",2015-04-30,1.75e+08,2015
"p092015","republic of chile","chile quilleco hydropower project","to help mitigate global climate change through certified carbon emission reductions cers of 200000 tco2e per year",2017-06-14,82600000,2017
"p098167","republic of ecuador","apl1 bono de desarrollo humano","the broad objectives of the bono de desarrollo humano program bdh are to reduc e poverty and promote human capital investments among poor families through the provision of direct monetary transfers and incentives for households to invest i n human capital world bank assistance under the proposed apl would aim to contr ibute to these ultimate objectives of poverty reduction and human capital develo pment among poor families 
  within that broader context the development objective of the proposed apl is to  consolidate the role of the bdh as a conditional cash transfer program and of s elben as a targeting tool for social programs while supporting the development of an effective country social protection strategy to reduce poverty and to fost er investments in human capital among poor households  the program will help su stain and strengthen the wellestablished and reasonably successful bdh program and will help ensure protection of the fiscal space for the monetary transfers m ade under the bdh to poor families 
 phase 1 of the apl would support the transformation of the bdh into an effective  cash transfer program that protects the vulnerable and fosters investment by po or families in human capital  effectiveness would be assessed in terms of   i the targeting and coverage of benefits ii efficacy of the transfer and co responsibilities to foster investment by beneficiary families in human capital and iii the capacities of involved institutions including pps staff sectoral  ministries service providers and beneficiary groups to manage the program ef ficiently to monitor results and to evaluate impacts",2010-12-31,6e+07,2010
"p094155","republic of costa rica","carbon sequestration in small farms in the brunca region coopeagri","the project will contribute to stimulate the market for cers from lulucf cdm projects as part of the global effort to reduce global warming by removing carbon from the atmosphere and to cope with climate change in general the project will also raise awareness of the economic social and environmental potential of kyoto protocol cdm reforestation activities at the national and regional levels",2018-12-31,3240000,2018
"p102095","republic of colombia","natural gas distribution for low income families in the caribbean coast","",2008-03-31,5085000,2008
"p082219","united mexican states","cdm ta for mexico","",2008-06-30,350000,2008
"p089989","republic of nicaragua","nicaragua rural telecom","the project development objective is to increase access to and reduce costs of telecommunications services in rural areas of nicaragua",2015-06-30,16700000,2015
"p078703","cooperative republic of guyana","guyana poverty reduction and public management operation","the poverty reduction and public management operation prpmo supports the governments efforts to implement critical reforms in public sector management and poverty reduction programs identified in guyanas 2001 poverty reduction strategy paper prsp and the 2004 and 2005 progress reports  building on the reforms supported by prsci the proposed operation aims to improve the transparency accountability and efficiency with which overall resources are utilized across the public sector  in addition the prpmo will help improve the governments institutional capacity to monitor progress under the prsp evaluate the impact of poverty reduction programs and improve the statistical information for poverty analysis and targeting  finally the operation will support actions to strengthen environmental management and regulations to ensure the sustainable use of guyanas natural resources",2007-03-31,9600000,2007
"p094154","republic of nicaragua","precious woods project","this project will contribute to promoting the market for ers stemming from lulucf cdm projects as part of the efforts to reduce global warming by removing carbon from the atmosphere and to mitigate climate change in general  the project will also raise awareness of the economic social and environmental potential of kyoto protocol cdm reforestation activities at the national and regional levels",2019-06-30,7980000,2019
"p083075","republic of colombia","colombia integrated national adaptation program","the global objective has not changed",2011-12-31,14900000,2011
"p088543","federative republic of brazil","minas gerais partnership for development","the operation would support three pillars  fiscal management public sector management and private sector development  in two stages with the initial disbursement made conditional on progress to date at the time of negotiations and the second disbursement tied to clearly defined future goals in each area 
  the benefits of the operation can be divided into three levels at the first level the operation brings benefits in terms of reinforcing the fiscal responsibility law and brazils system of fiscal federal checks and balances  as discussed elsewhere in this document this system has been fundamental to assuring brazils national macroeconomic stability since the real plan and by reinforcing the successful adjustment of brazils second largest state the operation has considerable significance at the national level
 second within the state itself the fiscal adjustment combined with improved economic performance will lead to poverty reduction both through higher incomes and through increased spending available for direct povertyreducing spending such as education health and basic local infrastructure work at the national level suggests that the elasticity of poverty with respect to economic growth in brazil is about one and minas is unlikely to be a significant exception to this statistical regularity at the level of the country  furthermore there is a 25 headcount ratio of poverty in the state  this implies that a one percent increase in economic growth is likely to reduce poverty in minas by about a quarter of a percentage point per year or one percent every four years
 third the improvements in the quality of public management in minas will bring better service delivery to the poor  efforts such as resultsbased management and performancebased human resource management are key in this regard",2007-12-31,1.7e+08,2007
"p095523","republic of haiti","haiti transport and territorial development project","lower the marketing costs for small farmers in two selected microregions marketing costs are those costs incurred in theaggregate of functions involved in moving goods from producer to consumer and rebuild selected infrastructure in areas struck bynatural disasters",2013-07-30,1.6e+07,2013
"p091932","republic of colombia","colombian national protected areas conservation trust fund","the arrest and reverse trends in biodiversity loss in colombias globally important ecosystems by strengthening the national biodiversity and protected areas trust fund funbap whose mission is to support the consolidation of the national protected areas system",2014-10-18,42400000,2014
"p094321","republic of guatemala","project to support a rural economic development program","the project development objectives pdo are i to improve the competitiveness of rural productive supply chains with strong indigenous participation and ii to strengthen the institutional capacity of the public entities participating in the program through the adoption of a territorial management model with indigenous participation",2014-12-31,6e+07,2014
"p087038","united mexican states","environmental services project","the project development objective is to enhance the provision of environmental services of national and global significance and secure their longterm sustainability this would be done by strengthening and expanding the national psah and cabsa programs and supporting the establishment of local payments for environmental services pes mechanisms in selected pilot areas 
  
 the objective will be achieved through the following key outcomes and outputs i strengthening the capacity of conafor community associations and ngos to increase flexibility and improve efficiency of existing service provision to support longterm development of the psah program in mexico ii establishing and securing sustainable longterm financing mechanisms iii establishing legal institutional and financial arrangements to pilot marketbased mechanisms for payment for environmental services iv documenting links between land use changes and water services improvements and biodiversity conservation and v defining good practices to replicate scale up and sustain marketbased pes programs",2011-06-30,141560000,2011
"p091299","jamaica","jm inner city basic services for the poor project","the project development objective is to improve quality of life in 12 jamaican innercity areas and poor urban informal settlements through improved access to basic urban infrastructure financial services land tenure regularization enhanced community capacity and improvements in public safety  specifically the project will a increase access and improve the quality of water sanitation solid waste collection systems electricity roads drainage and related community infrastructure for over 60000 residents of poor urban informal settlements through capital investments and innovative arrangements for operations and maintenance b facilitate access to microfinance for enterprise development and incremental home improvement for entrepreneurs and residents in project areas c increase security of tenure for eligible households in project areas and d enhance public safety through mediation services community capacity building skills training and related social services",2013-12-31,32800000,2013
"p089171","united mexican states","mexico environmental services project","the project development objective is to enhance the provision of environmental services of national and global significance and secure their longterm sustainability this would be done by strengthening and expanding the national psah and cabsa programs and supporting the establishment of local payments for environmental services pes mechanisms in selected pilot areas 
  
 the objective will be achieved through the following key outcomes and outputs i strengthening the capacity of conafor community associations and ngos to increase flexibility and improve efficiency of existing service provision to support longterm development of the psah program in mexico ii establishing and securing sustainable longterm financing mechanisms iii establishing legal institutional and financial arrangements to pilot marketbased mechanisms for payment for environmental services iv documenting links between land use changes and water services improvements and biodiversity conservation and v defining good practices to replicate scale up and sustain marketbased pes programs",2011-06-30,15000000.01,2011
"p055483","argentine republic","heads of household transition project","the project development objectives are to help i reduce poverty by supporting  the workfare component of the heads of household program including continued i mprovements in program management and governance and ii promote activities ai med at getting more beneficiaries of this program into fulltime employment the reby enabling them to graduate from the program  activities to promote labor ma rket participation by beneficiaries would include i workfare subprojects des igned especially to promote employability for example by combining them with t raining skill certification and targets for job placement ii support for pr oductive microprojects and iii the establishment and support to municipal of fices of employment services",2009-09-30,1.05e+09,2009
"p096605","dominican republic","dominican republic youth development project","the project development objective is to support the borrower in improving the employability of a poor atrisk youth by building their work experience and life skills and expanding secondchance education programs to complete their formal education and b poor lowskilled longterm unemployed people between the ages of 18 and 65",2013-06-30,49910000,2013
"p078894","republic of peru","real property rights consolidation project","the main objective of the project is to consolidate a decentralized and sustainable quality real property rights system that facilitates access for the peruvian population  this system will enhance the welfare of real property owners and facilitate access to economic opportunitieseven though the project cannot eliminate all formscauses of informal tenure it will reduce the negative impacts of informality and discourage further informality by consolidating the legal security of property rights completing conversion of informal tenure and building capacity to address its causes through strategic partnerships of various levels of government and key stakeholders in the private sector and civil society  the proposed system will also provide support to the ongoing decentralization program of gop through the institutional strengthening of participating municipalities",2012-06-30,3.5e+07,2012
"p098299","united mexican states","mx competitiveness dpl","project development objectives are 
  a build on past competitiveness efforts strengthen new and existing programs and promote a holistic crossgovernmental approach to improving productivity in order to accelerate growth and increase export and employment levels and 
 b contribute to the formulation of a mediumtolong term competitiveness policy agenda and help lay a solid foundation of competitiveness programs in advance of the next administration which takes office in december 2006 
 specifically the dpl aims to improve the competitiveness of mexicos economy through the following channels 
 1 promote technological innovation 2 improve training and education levels of the workforce 3 reduce the cost of doing business 4 facilitate new business entry 5 strengthen economic competition 6 streamline trade procedures and lower trade costs 7 facilitate customs clearance 8 improve the quality of port services 9 implement transparency measures and regulatory instruments for the energy sector",2006-07-30,300760000,2006
"p090110","republic of peru","pe rural electrification","the objective of the proposed project is to increase access to efficient and sustainable electricity services in rural areas of peru",2013-06-30,111450000,2013
"p090116","republic of peru","pe rural electrification","the objective of the proposed project is to increase access to efficient and sustainable electricity services in rural areas of peru",2013-06-30,1e+08,2013
"p096740","federative republic of brazil","support to social participation in the area of influence of the br163 highway","the main objective of this project continues to be support social participation to promote social accountability in the areas of influence of the br163 highway",2008-11-30,550000,2008
"p085727","republic of colombia","disaster vulnerability reduction project  apl2","the purpose of this apl2 project is to reduce the vulnerability of the capital district of bogota to adverse natural events by strengthening its capacity to manage disaster risks and by reducing vulnerability in key sectors",2014-01-31,2e+08,2014
"p097159","united mexican states","finance and growth development policy loan","i contributing to reduce the probability of a systemic financial crisis ii fostering the sustainable growth of a financial system and capital markets that address the needs of the productive sector and increase the overall competitiveness of the economy and iii increasing the diversification of savings and investment instruments available to households and institutional investors",2006-06-30,501260000,2006
"p089926","argentine republic","national urban solid waste management project","the development objective of this project is to improve public health and quality of life by developing environmentally and financially sustainable systems for urban solid waste management in argentina",2015-06-30,54380000,2015
"p088575","republic of ecuador","health insurance strategy for the poor support project","the main objective of the proposed project is to assist the goe to extend health  coverage to targeted lowincome groups who otherwise have no access to health c are with the goal of reducing infant child and maternal mortality as well as r educing the level of health inequalities between provinces and income quintiles   the apl would finance the implementation of proaus extending health insurance  coverage to individuals in income quintiles 1 and 2 over a period of 8 years or  less  in the first phase of the apl proaus coverage would be initially extend ed to 860000 individuals in income quintiles 1 and 2 living in the municipaliti es of quito and guayaquil as well as those living in canton santa elena and fro m the provinces of tunguragua cotopaxi chimborazo and bolivar  by the end of the implementation of apl1 14 million people would be covered and served by pr oaus  extending coverage should be accompanied by an 8 percent reduction in imr  and u5mr and by 12 percent in mmr in enrolled populations in project provinces  and municipalities as well as 5 percent reductions in the ratios of imr u5mr and mmr between 12 and 45 income quintiles the project would contribute subst antially to ecuadors ability to meet the mdgs for health by 2015
  the project should also meet a secondary but similarly important objective of ch anging the operational culture of the health care systems the implementation of  this project should provide a new incentive framework through new payment arran gements and a more marketdriven approach to the contracting of services by the aus corporation promoting operational effectiveness quality improvements and e fficiency  the project should also set the correct incentives for enrollment m onitoring and actual delivery of services  by the end of apl phase 1 contracts  including this new incentive framework would be signed with the municipalities of quito and guayaquil and with providers in at least 4 provinces  further th e project should also contribute to the process of decentralization in the healt h sector by transferring responsibility to contract services from the moh to the  aus corporation and to selected municipalities  
 lastly the project should contribute to strengthening the monitoring evaluatio n and audit network of proaus  this would include the strengthening of the heal th management information network for both the aus corporation and its providers  as well as supporting external financial and technical audit",2010-06-30,9e+07,2010
"p090061","dominican republic","dominican republic gainworld bank","",2009-06-30,2089000,2009
"p077756","republic of guatemala","guatemala maternal and infant health and nutrition","the proposed project aims to support the government of guatemala to a improve maternal and infant health in the projects 40 areas of intervention and b reduce chronic malnutrition among children younger than 2 years of age in the rural areas of the 70 municipalities targeted by the project",2013-05-30,4.9e+07,2013
"p069671","federative republic of brazil","rfppg7 coordination","preparation and appraisal of a project to support the coordination of the brazilian rain forest pilot program by the ministry of the environment  whilet treated as a project at this stage it will likely be merged into the existing monitoring and analysis project through an amendment to the ama grant agreement",2005-06-30,3200000,2005
"p085934","caribbean","caricomtfscb grant for mecovi","",2009-09-25,194348.25,2009
"p082392","grenada","public sector modernization technical assistance credit","the objective of this project is to assit the government of grenada to begin the process of modernizing its public sector this includes building the capacity to design and implement public sector modernization initiatives which would address rightsizing the public sector and determining which services would best be delivered by an executive agency or commercialization   the specific objectives of the project are to i improve service delivery in those agencies designated executive agencies ii introduce modern human resource management principles into the public sector iii build the capacity of the government to lead and implement modernization efforts iv encourage subregional cooperation through the procurement of select goods and services and v strengthen the enabling environment for small and micro businesses",2013-03-31,3500000,2013
"p070963","argentine republic","argentina rural education improvement project  promer","the projects development objective is to support national government policy to i improve the coverage efficiency and qualityof the argentine education system and ii to improve the governance of the argentine education system through strengthening of thenormative planning information monitoring and evaluation capacity at the national and provincial levels",2013-12-31,240580000,2013
"p070448","argentine republic","subnational government public sector modernization program","the project aims at improving the capabilities of the provincial governments and  their municipalities to more effectively manage their resources and improve the  quality of government administrative services its specific objectives are i to support the integrated development and adoption of basic management tools tha t are conducive to the efficient and transparent management of provincial and mu nicipal resources ii to strengthen provincial governments in such key areas as  those related to land tax and tax administration human resources management j udicial services civil registries control entities and public safety functions  and iii to support the strengthening of municipal governments through pilot a ctivities designed to demonstrate the benefits of integrated modernization effor ts",2013-03-31,5.2e+07,2013
"p090113","republic of honduras","rural electrification project","the project development objectives are i to improve access quality and sustainability of infrastructure services roads water  sanitation and electricity for the rural poor in honduras and ii to develop capacities and enabling environment for locallydriven service provision and planning",2013-06-30,21090000,2013
"p085593","united mexican states","mx apl i tertiary educ student ass","the objective of the project is to support the borrowers strategy to foster the sustainable  and equitable and efficient expansion of tertiary education through student assistance through the development of a coherent student assistance system consisting of grant programs and compensatory interventions for disadvantaged students and supporting the national tertiary education policy",2011-12-31,299570000,2011
"p094146","republic of el salvador","second broadbased growth development policy loan","the proposed development policy loan dpl constitutes the second loan within a programmatic series of four dpls totaling us400 million intended to support the governments medium term development strategy to accelerate broad based and equitable economic growth and to contribute to the governments objectives of i reigniting growth particularly through increased private investment and tradeii reinforcing macroeconomic stability and strengthening fiscal sustainability and iii increasing the efficiency and transparency of public sector management 
  within this context the proposed loan focuses largely on addressing fiscal issues and on strengthening the international trade and business environment  it also includes follow up actions in public financial management and procurement regulations to ensure gradual implementation of measures identified in the country financial accountability assessment cfaa and country procurement assessment report cpar",2007-06-13,1e+08,2007
"p088728","united mexican states","mexico education quality","the proposed project aims to improve public school management through strengthen ing and expanding the governments quality schools program programa escuelas de  calidad pec now being implemented on a pilot scale by sep pec is designed to  empower the school community and promote school autonomy and accountability e ncouraging parents teachers and directors to design and carryout school improve ment plans that respond to the needs of the school and its students the pec awa rds a grant to finance the improvement plans in selected schools these grants a re jointly financed by sep and state governments the program is open to all pub lic basic education schools that apply on a voluntarily basis but priority is g iven to disadvantaged schools located in poor urban areas as these schools have  the most need and also tend to benefit more from the program the federal inves tment in the program leverages approximately half as much in state contributions  and in donations from local school communities where schools mobilize parents  municipal governments and private organizations to support their school improve ment plans",2009-12-31,346200000,2009
"p089826","republic of peru","third programmatic decentralization and competitiveness dev policy loan","",2006-12-31,1.5e+08,2006
"p081436","federative republic of brazil","bahia poor urban areas integrated development","the projects development objective is to reduce urban poverty in a sustainable manner targeting the poorest and most vulnerable sections of salvador and strategic cities of the state of bahia with access to basic services and improved housing and social support services this development objective is aligned with the millennium development goals mdgs especially goal 7 target 11 in line with the growing number of governments around the world that are launching comprehensive slum upgrading programs setting development targets undertaking reforms to prevent the growth of new slums and leveraging public and private resources to improve the lives of slum dwellers",2013-10-31,82646000,2013
"p081023","federative republic of brazil","pcf sugar bagasse cogeneration project","the objective of the project is to reduce emissions by generating energy from renewable sources furthermore the project supports development of an international market mechanism for emission reductions er under the framework of the kyoto protocol  although the pdo has not changed since project approval in june 2005 the implementing agency has modified the original project design in order to expand its operations due to the natural course of business  as a result a decision to submit a revised pdd project design document to the cdm board is being considered since the project no longer conforms to its original design",2013-12-31,9180000,2013
"p092202","republic of el salvador","protected areas consolidation and administration","the global environmental objective of the proposed project is to conserve el salvadors globally significantbiodiversitybystrength e ning the national protected areas system and consolidating two priority protected areas",2012-06-29,7630000,2012
"p078993","republic of el salvador","excellence and innovation in secondary education exito","the project development objective is to increase equitable opportunities for you ng people to complete their secondary education with high quality general andor  relevant specialized competencies as such appropriate key indicators include  i increasing secondary school grades 7 to 1112 enrollment and completion r ates particularly among the most disadvantaged socioeconomic groups ii raisi ng the percentage of secondary students achieving an intermediate or advanced le vel score on secondary education exams grade 9 and grade 1112 exams and iii  augmenting the proportion of technical education graduates who continue into t ertiary",2011-12-31,9.7e+07,2011
"p087046","republic of nicaragua","second agricultural technology project","the project development objective pdo is to provide rural households and communities with a broader access to sustainable agricultural forestry and natural resource management services and innovations and to stimulate higher productivity",2014-06-30,3.9e+07,2014
"p089852","united mexican states","mx affordable housing and urban poverty reduction development policy loan ii","",2006-06-30,200510000,2006
"p079182","federative republic of brazil","nova gerar landfill rio de janeiro","maximize generation of co2 er  project is expected to generate at least 118 million t of co2 in er over 21 years which may be achieved by an adequate gas collection system and burning of the generated methane 
  the amended erpa targets to purchase 1000000 tons by dec 2012",2017-06-14,20910000,2017
"p050761","federative republic of brazil","brhousing sector tal","to strengthen the ministry of cities capacity to manage housing and urban development policy and programs at the federal level and to improve capacity for the development of social housing programs at the local level",2010-12-31,1300000,2010
"p082656","united mexican states","mexico city insurgentes bus rapid transit system carbon finance project","1  project development objective  see annex 1
  the project will contribute to reductions in local airborne pollutants and greenhouse gas emissions generated by the transport sector in the metropolitan area of mexico city mcma this will be sought through the development of the first surface mass transport corridor in mexico city insurgentes avenue and associated traffic management measures 
 the project is also intended to develop and demonstrate the catalytic use of clean development mechanism cdm to foster technology regulatory and institutional changes in the public transport sector  it will also develop and implement tools required to measure and monitor greenhouse gas ghg emission reductions from the transport sector while the operation of one single corridor does not result in large emission reductions the project will help to develop the tools and procedures that may be applied on a larger stage as a follow up to this operation the availability of certified emission reductions is expected to accelerate this process  thus the project will demonstrate that a highquality bus corridor approach is a viable alternative for promoting a modal shift in this context the project will provide a valuable blueprint for other corridors in the city and elsewhere which could bring about a much higher overall impact",2016-08-17,49400000,2016
"p089443","republic of colombia","co social safety net project","the project development objective is to strengthen the countrys social safety net by consolidating and expanding the successfu l familias en accion conditional cash transfer program and improving the monitoring and evaluation of the countrys safety net portfolio",2008-12-31,92700000,2008
"p085317","dominican republic","dotfscb grant for mecovi tf050305","",2005-10-28,229929.09,2005
"p088642","republic of el salvador","social protection project","the development objective of the project is to support el salvadors red solidar ia program to initiate a conditional cash transfer cct intervention for very p oor families and their most vulnerable children in the countrys poorest municip alities",2011-01-31,160600000,2011
"p094301","republic of colombia","1st business productivity and efficiency dpl","a	facilitating the operation of businesses and promoting investment to boost productivity and employment levels and
  b	consolidating the financial sector and capital markets as pillars of economic growth to addresses the needs of individuals and the productive sector",2006-05-15,2.5e+08,2006
